Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
186,Draymond Green,PF,GSW,2.7,6.0,7.1,8.9,1.7,0.8,3.0,7.0
187,JaMychal Green,PF,DEN,3.0,6.4,4.8,0.9,0.4,0.4,0.9,8.1
188,Javonte Green,SG-PG,BOS,1.6,2.8,2.1,0.4,0.7,0.1,0.5,4.2
188,Javonte Green,PG,CHI,0.9,1.9,1.2,0.4,0.6,0.3,0.4,2.6
189,Jeff Green,C,BRK,3.8,7.8,3.9,1.6,0.5,0.4,0.8,11.0
190,Josh Green,SG,DAL,1.1,2.4,2.0,0.7,0.4,0.1,0.4,2.6
191,Blake Griffin,PF,DET,4.1,11.1,5.2,3.9,0.7,0.1,1.6,12.3
191,Blake Griffin,PF,BRK,3.6,7.3,4.7,2.4,0.7,0.5,1.2,10.0
192,Kyle Guy,PG,SAC,0.9,2.8,1.1,1.0,0.2,0.0,0.4,2.8
193,Rui Hachimura,PF,WAS,5.4,11.4,5.5,1.4,0.8,0.1,1.2,13.8
194,Ashton Hagans,PG,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
195,Tyrese Haliburton,PG,SAC,5.0,10.7,3.0,5.3,1.3,0.5,1.6,13.0
196,Donta Hall,PF,ORL,1.9,2.7,4.8,0.8,0.4,0.8,0.6,5.6
197,Josh Hall,SF,OKC,1.4,4.7,2.8,1.3,0.2,0.0,1.2,4.1
198,R.J. Hampton,SG-PG,DEN,1.0,2.4,2.0,0.6,0.2,0.1,0.4,2.6
198,R.J. Hampton,SG,ORL,4.3,9.7,5.0,2.8,0.6,0.3,1.6,11.2
199,Tim Hardaway Jr.,SG,DAL,5.8,13.0,3.3,1.8,0.4,0.2,0.9,16.6
200,James Harden,PG-SG,HOU,7.5,16.9,5.1,10.4,0.9,0.8,4.3,24.8
200,James Harden,PG,BRK,7.8,16.6,8.5,10.9,1.3,0.8,4.0,24.6
201,Maurice Harkless,PF-SF,MIA,0.5,1.2,1.2,0.6,0.2,0.4,0.3,1.4
